MeanLength,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023,X2024
320,1276166,1182174,1506030,502599,819237,377684,1451115,737881,721603,982387,945929,882592,767089,940801,1110400,933145,757895,743434,511895,463406.41,285375.92,375361.11,248814.09
330,888187,870455,1289905,310249,961029,528940,963001,665099,593097,809190,910127,805998,488304,802346,906177,745551,733468,574131,484008,375229.23,257134.17,270053.31,183586.28
340,634555,617448,875713,211435,648091,166187,374258,407294,529279,622198,441509,497486,444127,515115,565992,631815,564000,443881,386738,280758.8,211817.14,187401.12,157294.54
350,422470,577382,602678,112231,373697,206023,373329,496024,445661,282441,406355,386322,395996,474760,438181,478785,417106,377100,238054,198814.83,159880.99,142349.67,131638.51
360,407567,346405,264303,89829,222423,108603,427575,294609,197324,299243,145704,324390,335943,283615,317518,305037,273946,307495,152438,152081.14,133776.15,121083.76,84846.8
370,189109,210822,247277,46950,75629,61162,311751,195267,170336,187852,159016,196039,188366,226664,220815,244669,220463,203704,101333,89842.03,79136.13,84526.29,81987.2
380,106208,140090,143891,12992,57773,109476,66190,91617,97690,115212,87732,121849,134953,146819,142585,157152,159374,157092,74164,58786.95,54493.87,57832.78,53505.74
390,45353,100429,54236,10540,29292,71436,56446,73453,74116,52633,70575,100019,135010,94089,99342,84252,123816,119960,66765,47851.42,32029.03,33243.52,38821.94
400,38631,52391,46647,228,19632,12122,36442,25630,57900,35138,33476,51894,53405,59280,53102,70464,62150,69460,66859,26787.51,17788.24,20070.76,22160.43
410,22799,29000,23644,1886,15940,33194,16234,14837,13513,6708,28027,26442,33074,43443,33080,40016,50451,32866,36890,14138.26,10723.56,8141.89,14397.85
420,7744,14464,14127,1294,0,0,14568,11635,3229,13297,18927,12745,18344,17451,13702,12775,31575,25989,18888,12667.72,8717.96,4219.64,7086.12
430,6157,6,986,52,468,0,7727,4243,11505,1223,614,3424,2491,16667,7313,9647,23494,7911,16140,8165.5,3384.86,5142.94,4884.06
440,703,0,702,0,0,0,1353,0,5614,1040,430,1345,2860,9285,4137,4579,12464,6531,10067,3711.49,1350.72,1616.84,5749.66
450,589,1538,0,0,0,41359,0,0,1008,795,453,431,1509,2838,2003,827,7387,2596,1192,1806.17,1201.54,1120.26,671.7
460,57,1538,78,0,0,684,0,2079,616,1324,92,249,0,2784,1633,243,3227,1536,4855,1162.54,660.3,848.22,319.58
470,0,0,0,0,0,0,0,185,0,374,0,3440,55,292,326,0,2011,154,0,589.67,359.36,656.09,531.63
480,0,0,0,228,0,0,0,0,0,0,0,0,664,0,0,0,0,70,2663,129.44,0,0,0
490,0,0,0,0,0,0,426,0,0,0,193,0,0,0,0,0,0,0,0,386.92,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,89,0,0,110.09,0,212.13
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139.02
520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,89,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0,0,0,0,2614,0,0,1291,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.81,0,0,0
590,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,0,0,1291,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,2929,0,0,0,0,0,148.81,0,0,0
610,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,476,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.81,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,0,0,1520,0,465,148.81,0,0,0
640,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0,148.81,0,0,0
650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,89,0,0,0,0,0
660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,89,0,0,0,0,0
670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,928,593.86,0,0,0
680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,465,148.81,0,0,0
690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.86,0,0,0
