Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Netherlands	1	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	20133	kWd	15.60	Discards	R-Reported	Raised Discard
Netherlands	2	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	307757	kWd	3440.00	Landings	R-Reported	Imported
Netherlands	2	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	307757	kWd	766.81	Discards	R-Reported	Raised Discard
Netherlands	4	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	49406	kWd	2150.00	Landings	R-Reported	Imported
Netherlands	4	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	49406	kWd	479.26	Discards	R-Reported	Raised Discard
Netherlands	1	Quarter	2024	lem.27.3a47d	27.4	SSC_DEF_100-119_0_0_all	5325	kWd	300.00	Landings	R-Reported	Imported
Netherlands	1	Quarter	2024	lem.27.3a47d	27.4	SSC_DEF_100-119_0_0_all	5325	kWd	66.87	Discards	R-Reported	Raised Discard
Netherlands	3	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	111908	kWd	5450.00	Landings	R-Reported	Imported
Netherlands	3	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	111908	kWd	1214.86	Discards	R-Reported	Raised Discard
Netherlands	2	Quarter	2024	lem.27.3a47d	27.4	SSC_DEF_100-119_0_0_all	4993	kWd	20.00	Landings	R-Reported	Imported
Netherlands	2	Quarter	2024	lem.27.3a47d	27.4	SSC_DEF_100-119_0_0_all	4993	kWd	4.46	Discards	R-Reported	Raised Discard
Netherlands	1	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	48574	kWd	330.00	Landings	R-Reported	Imported
Netherlands	1	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	48574	kWd	266.14	Discards	R-Reported	Imported
Netherlands	3	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	59886	kWd	670.00	Landings	R-Reported	Imported
Netherlands	3	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	59886	kWd	149.35	Discards	R-Reported	Raised Discard
Netherlands	2	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	194315	kWd	5650.00	Landings	R-Reported	Imported
Netherlands	2	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	194315	kWd	584.36	Discards	R-Reported	Imported
Netherlands	4	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	20314	kWd	1730.00	Landings	R-Reported	Imported
Netherlands	4	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	20314	kWd	385.64	Discards	R-Reported	Raised Discard
Netherlands	3	Quarter	2024	lem.27.3a47d	27.4	SSC_DEF_100-119_0_0_all	4165	kWd	70.00	Landings	R-Reported	Imported
Netherlands	3	Quarter	2024	lem.27.3a47d	27.4	SSC_DEF_100-119_0_0_all	4165	kWd	15.60	Discards	R-Reported	Raised Discard
Netherlands	2	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	11661	kWd	150.00	Landings	R-Reported	Imported
Netherlands	2	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	11661	kWd	33.44	Discards	R-Reported	Raised Discard
Netherlands	3	Quarter	2024	lem.27.3a47d	27.3.a.20	OTB_DEF_100-119_0_0_all	1892	kWd	1170.00	Landings	R-Reported	Imported
Netherlands	3	Quarter	2024	lem.27.3a47d	27.3.a.20	OTB_DEF_100-119_0_0_all	1892	kWd	260.81	Discards	R-Reported	Raised Discard
Netherlands	3	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	379743	kWd	3980.00	Landings	R-Reported	Imported
UK(Scotland)	2024	Year	2024	lem.27.3a47d	27.4	OTB_DEF_>=120_0_0_all	14085247	kWd	444285.00	Landings	R-Reported	Imported
UK(Scotland)	2024	Year	2024	lem.27.3a47d	27.4	OTB_DEF_>=120_0_0_all	14085247	kWd	43749.00	Discards	R-Reported	Imported
Belgium	3	Quarter	2024	lem.27.3a47d	27.4.a	OTB_DEF_>=120_0_0_all	8652	kWd	854.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2024	lem.27.3a47d	27.4.a	OTB_DEF_>=120_0_0_all	8652	kWd	190.37	Discards	R-Reported	Raised Discard
Norway	2	Quarter	2024	lem.27.3a47d	27.4.a	OTB_DEF_>=120_0_0_all	-9	NA	2185.00	Landings	R-Reported	Imported
Norway	2	Quarter	2024	lem.27.3a47d	27.4.a	OTB_DEF_>=120_0_0_all	-9	NA	487.06	Discards	R-Reported	Raised Discard
